date,new_cases,new_deaths,total_cases,total_deaths,stringency_index,containment_health_index,new_cases_ma,new_deaths_ma,negative_news_intensity
2021-08-21,174382,1381,37266129,627078,53.66,59.44,142687.42857142858,1099.2857142857142,0.4521274173740961
2021-08-22,167459,1556,37433588,628634,53.65,59.43,145709.42857142858,1150.7142857142858,0.44477945381064665
2021-08-23,141824,1169,37575412,629803,53.63,59.42,145991.7142857143,1188.5714285714287,0.4176559145764094
2021-08-24,124481,899,37699893,630702,56.6,61.32,147958.7142857143,1220.0,0.4142235196492361
2021-08-25,120825,1205,37820718,631907,56.58,61.31,149654.42857142858,1271.4285714285713,0.4102695052089828
2021-08-26,162414,1655,37983132,633562,56.57,61.3,151363.85714285713,1337.4285714285713,0.4540611697455488
2021-08-27,176904,1658,38160036,635220,56.56,61.29,152612.7142857143,1360.4285714285713,0.46928604372049726
2021-08-28,186271,1760,38346307,636980,56.55,61.28,154311.14285714287,1414.5714285714287,0.4791104000255096
2021-08-29,182171,1837,38528478,638817,56.54,61.28,156412.85714285713,1454.7142857142858,0.4747383147702732
2021-08-30,150022,1460,38678500,640277,56.53,61.27,157584.0,1496.2857142857142,0.44079795229491237
2021-08-31,115672,1183,38794172,641460,56.52,61.26,156325.57142857142,1536.857142857143,0.4045374022108613
2021-09-01,138600,1243,38932772,642703,52.48,58.65,158864.85714285713,1542.2857142857142,0.4085072857792157
2021-09-02,176801,1807,39109573,644510,52.47,58.64,160920.14285714287,1564.0,0.4487274389170944
2021-09-03,197627,2015,39307200,646525,52.46,58.63,163880.57142857142,1615.0,0.470631473237915
2021-09-04,183417,2028,39490617,648553,52.45,58.63,163472.85714285713,1653.2857142857142,0.45560180850497467
2021-09-05,182112,1973,39672729,650526,52.45,58.62,163464.42857142858,1672.7142857142858,0.4542261230341107
2021-09-06,141762,1490,39814491,652016,52.45,58.62,162284.42857142858,1677.0,0.4116905607740651
2021-09-07,123082,1324,39937573,653340,52.44,58.61,163343.0,1697.142857142857,0.39194874818917647
2021-09-08,116004,1092,40053577,654432,52.43,58.6,160115.0,1675.5714285714287,0.38443735923107974
2021-09-09,114676,1522,40168253,655954,52.42,58.6,151240.0,1634.857142857143,0.3829874196656785
2021-09-10,171241,2119,40339494,658073,52.41,58.59,147470.57142857142,1649.7142857142858,0.44256629071848125
2021-09-11,183714,2246,40523208,660319,52.41,58.58,147513.0,1680.857142857143,0.45571489215762745
2021-09-12,172091,2292,40695299,662611,52.4,58.58,146081.42857142858,1726.4285714285713,0.44341232276652187
2021-09-13,153543,1739,40848842,664350,52.4,58.57,147764.42857142858,1762.0,0.42385966827335386
2021-09-14,113838,1140,40962680,665490,52.39,58.57,146443.85714285713,1735.7142857142858,0.3819540342134353
2021-09-15,118971,1352,41081651,666842,52.38,58.56,146867.7142857143,1772.857142857143,0.38731508523752267
2021-09-16,162147,2413,41243798,669255,52.37,58.55,153649.2857142857,1900.142857142857,0.4327797098064726
2021-09-17,163128,2499,41406926,671754,52.36,58.54,152490.2857142857,1954.4285714285713,0.4337638374841555
2021-09-18,167335,2108,41574261,673862,52.36,58.54,150150.42857142858,1934.7142857142858,0.43819871010938505
2021-09-19,158492,2339,41732753,676201,52.35,58.53,148207.7142857143,1941.4285714285713,0.4288267197290087
2021-09-20,122574,1589,41855327,677790,52.35,58.53,143783.57142857142,1920.0,0.3909632172443416
2021-09-21,94644,1194,41949971,678984,52.34,58.52,141041.57142857142,1927.7142857142858,0.36147040717787393
2021-09-22,98378,1368,42048349,680352,52.33,58.52,138099.7142857143,1930.0,0.36535665140826823
2021-09-23,132981,2345,42181330,682697,52.33,58.51,133933.14285714287,1920.2857142857142,0.40183392677095375
2021-09-24,132730,2350,42314060,685047,52.32,58.5,129590.57142857143,1899.0,0.4015193230309322
2021-09-25,138256,2073,42452316,687120,52.32,58.5,125436.42857142857,1894.0,0.40734463943859045
2021-09-26,132731,2465,42585047,689585,52.31,58.5,121756.28571428571,1912.0,0.4014703987013998
2021-09-27,96166,1435,42681213,691020,52.31,58.49,117983.71428571429,1890.0,0.3629248513894154
2021-09-28,75238,1019,42756451,692039,52.3,58.49,115211.42857142857,1865.0,0.3408132756332608
2021-09-29,107319,1957,42863770,693996,52.3,58.48,116488.71428571429,1949.142857142857,0.3746319465840545
2021-09-30,115452,2155,42979222,696151,52.29,58.48,113984.57142857143,1922.0,0.3831554631411388
2021-10-01,116797,2253,43096019,698404,52.28,58.47,111708.42857142857,1908.142857142857,0.3845233069195071
2021-10-02,124042,1962,43220061,700366,52.28,58.46,109677.85714285714,1892.2857142857142,0.39216073315430344
2021-10-03,120674,2211,43340735,702577,52.28,58.46,107955.42857142857,1856.0,0.38861030505785155
2021-10-04,81968,1287,43422703,703864,52.27,58.46,105927.14285714286,1834.857142857143,0.3477578117469167
2021-10-05,66639,942,43489342,704806,52.27,58.45,104698.71428571429,1823.857142857143,0.33159851474854646
2021-10-06,91816,1356,43581158,706162,52.26,58.45,102484.0,1738.0,0.3580892214706919
2021-10-07,101799,2055,43682957,708217,52.26,58.44,100533.57142857143,1723.7142857142858,0.36861295178152303
2021-10-08,118223,2053,43801180,710270,52.25,58.44,100737.28571428571,1695.142857142857,0.3858765512803183
2021-10-09,113038,1738,43914218,712008,52.25,58.43,99165.28571428571,1663.142857142857,0.38041070517577463
2021-10-10,108501,2253,44022719,714261,52.24,58.43,97426.28571428571,1669.142857142857,0.37557797956901584
2021-10-11,70589,1051,44093308,715312,52.24,58.43,95800.71428571429,1635.4285714285713,0.335612471851473
2021-10-12,58449,1013,44151757,716325,52.23,58.42,94630.71428571429,1645.5714285714287,0.3227648990975807
2021-10-13,77961,1024,44229718,717349,52.23,58.42,92651.42857142857,1598.142857142857,0.34333376875849797
2021-10-14,89638,1914,44319356,719263,52.23,58.42,90914.14285714286,1578.0,0.35564325476867276
2021-10-15,96312,1846,44415668,721109,52.22,58.41,87784.0,1548.4285714285713,0.36262874442768006
2021-10-16,96871,1576,44512539,722685,52.22,58.41,85474.42857142857,1525.2857142857142,0.36321802272516124
2021-10-17,92417,2038,44604956,724723,52.22,58.41,83176.71428571429,1494.5714285714287,0.35852277131732374
2021-10-18,63002,892,44667958,725615,52.21,58.4,82092.85714285714,1471.857142857143,0.32746449625755064
2021-10-19,47645,695,44715603,726310,52.21,58.4,80549.42857142857,1426.4285714285713,0.31127568263605077
2021-10-20,72322,2330,44787925,728640,52.2,58.4,79743.85714285714,1613.0,0.337239336604632
2021-10-21,80595,1849,44868520,730489,52.2,58.39,78452.0,1603.7142857142858,0.3459604445743311
2021-10-22,76534,1841,44945054,732330,52.19,58.39,75626.57142857143,1603.0,0.3416294717584539
2021-10-23,87571,1523,45032625,733853,52.19,58.39,74298.0,1595.4285714285713,0.35326429209709387
2021-10-24,80874,1961,45113499,735814,52.19,58.38,72649.0,1584.4285714285713,0.34620454834354925
2021-10-25,36114,654,45149613,736468,52.19,58.38,68807.85714285714,1550.4285714285713,0.2990201179405841
2021-10-26,28057,347,45177670,736815,52.18,58.38,66009.57142857143,1500.7142857142858,0.29047670133806147
2021-10-27,84460,1030,45262130,737845,52.18,58.37,67743.57142857143,1315.0,0.34993477613740115
2021-10-28,101787,2052,45363917,739897,52.17,58.37,70771.0,1344.0,0.3681502867321276
2021-10-29,84199,1765,45448116,741662,52.17,58.36,71866.0,1333.142857142857,0.3496096307462618
2021-10-30,103121,1277,45551237,742939,52.17,58.36,74087.42857142857,1298.0,0.3695565429912329
2021-10-31,88448,1790,45639685,744729,52.17,58.36,75169.42857142857,1273.5714285714287,0.3540887783061858
2021-11-01,34950,453,45674635,745182,52.16,58.36,75003.14285714286,1244.857142857143,0.29764307466190293
2021-11-02,25347,302,45699982,745484,52.16,58.35,74616.0,1238.4285714285713,0.28751992709354557
2021-11-03,117847,1196,45817829,746680,52.15,58.35,79385.57142857143,1262.142857142857,0.38498019163559327
2021-11-04,74593,1450,45892422,748130,52.15,58.35,75500.71428571429,1176.142857142857,0.3393833338909584
2021-11-05,78766,1188,45971188,749318,52.15,58.34,74724.57142857143,1093.7142857142858,0.34378236490238767
2021-11-06,88850,1204,46060038,750522,52.14,58.34,72685.85714285714,1083.2857142857142,0.3543625575925413
2021-11-07,89858,1614,46149896,752136,52.14,58.34,72887.28571428571,1058.142857142857,0.35542515602520863
2021-11-08,35987,476,46185883,752612,49.92,56.92,73035.42857142857,1061.4285714285713,0.28753623310629184
2021-11-09,31524,256,46217407,752868,49.92,56.91,73917.85714285714,1054.857142857143,0.2828314942124484
2021-11-10,116391,1161,46333798,754029,49.91,56.91,73709.85714285714,1049.857142857143,0.372245331357493
2021-11-11,82883,1587,46416681,755616,49.9,56.9,74894.14285714286,1069.4285714285713,0.3368723733963937
2021-11-12,93749,1345,46510430,756961,49.89,56.89,77034.57142857143,1091.857142857143,0.348276923203954
2021-11-13,73647,970,46584077,757931,49.89,56.89,74862.71428571429,1058.4285714285713,0.32708609612709055
2021-11-14,122999,1734,46707076,759665,49.89,56.89,79597.14285714286,1075.5714285714287,0.3791112527233179
2021-11-15,69276,544,46776352,760209,49.88,56.88,84352.71428571429,1085.2857142857142,0.3224283470277248
2021-11-16,33593,217,46809945,760426,51.55,57.95,84648.28571428571,1079.7142857142858,0.29316257312974764
2021-11-17,133590,1080,46943535,761506,51.54,57.95,87105.28571428571,1068.142857142857,0.39852591351475847
2021-11-18,96915,1464,47040450,762970,51.53,57.94,89109.85714285714,1050.5714285714287,0.3598143997435125
2021-11-19,105810,1442,47146260,764412,51.53,57.94,90832.85714285714,1064.4285714285713,0.36919119841273446
2021-11-20,123870,3867,47270130,768279,51.52,57.94,98007.57142857143,1478.2857142857142,0.38817944183671294
2021-11-21,113822,1662,47383952,769941,51.52,57.93,96696.57142857143,1468.0,0.3775871907936166
2021-11-22,46194,374,47430146,770315,51.51,57.93,93399.14285714286,1443.7142857142858,0.306246104317657
2021-11-23,38751,177,47468897,770492,51.51,57.92,94136.0,1438.0,0.2983999533907296
2021-11-24,145378,1177,47614275,771669,51.5,57.92,95820.0,1451.857142857143,0.4107524084667963
2021-11-25,101066,1560,47715341,773229,51.5,57.92,96413.0,1465.5714285714287,0.36404024403390545
2021-11-26,106535,1374,47821876,774603,51.5,57.92,96516.57142857143,1455.857142857143,0.3698054730301927
2021-11-27,72723,465,47894599,775068,54.86,60.08,89209.85714285714,969.8571428571429,0.3509620584356994
2021-11-28,81747,563,47976346,775631,54.86,60.07,84627.71428571429,812.8571428571429,0.3604748444043401
2021-11-29,51800,214,48028146,775845,54.85,60.07,85428.57142857143,790.0,0.3288557535051037
2021-11-30,56537,193,48084683,776038,48.68,56.09,87969.42857142857,792.2857142857143,0.3029993404106607
2021-12-01,93479,1663,48178162,777701,48.66,56.08,80555.28571428571,861.7142857142857,0.3418423062770116
2021-12-02,120690,1622,48298852,779323,48.65,56.07,83358.71428571429,870.5714285714286,0.3704771997376648
2021-12-03,133075,1727,48431927,781050,48.63,56.05,87150.14285714286,921.0,0.38343303295420306
2021-12-04,143869,1244,48575796,782294,48.61,56.04,97313.85714285714,1032.2857142857142,0.39471168947791024
2021-12-05,151567,1641,48727363,783935,48.6,56.04,107288.14285714286,1186.2857142857142,0.4027766293102121
2021-12-06,67352,572,48794715,784507,48.59,56.03,109509.85714285714,1237.4285714285713,0.313950135927594
2021-12-07,55314,281,48850029,784788,48.58,56.02,109335.14285714286,1250.0,0.30121010291626377
2021-12-08,184043,1288,49034072,786076,48.57,56.01,122272.85714285714,1196.4285714285713,0.43686171529274004
